time,type,note,velocity
7.615,note_on,42,50
7.731,note_off,42,0
7.846,note_off,77,0
7.846,note_off,72,0
7.846,note_off,68,0
7.846,note_on,72,50
7.846,note_on,76,50
7.846,note_on,79,50
7.846,note_off,53,0
7.846,note_off,41,0
7.846,note_on,40,50
7.846,note_on,52,50
7.846,note_on,36,50
7.962,note_off,79,0
7.962,note_off,76,0
7.962,note_off,72,0
7.962,note_off,36,0
8.077,note_on,72,50
8.077,note_on,76,50
8.077,note_on,79,50
8.077,note_on,42,50
8.192,note_off,79,0
8.192,note_off,76,0
8.192,note_off,72,0
8.192,note_off,42,0
8.308,note_on,72,50
8.308,note_on,75,50
8.308,note_on,80,50
8.308,note_off,52,0
8.308,note_off,40,0
8.308,note_on,39,50
8.308,note_on,51,50
8.308,note_on,36,50
8.423,note_off,36,0
8.538,note_on,42,50
8.654,note_off,80,0
8.654,note_off,75,0
8.654,note_off,72,0
8.654,note_on,84,50
8.654,note_on,74,50
8.654,note_on,77,50
8.654,note_off,51,0
8.654,note_off,39,0
8.654,note_on,38,50
8.654,note_on,50,50
8.654,note_off,42,0
8.769,note_on,36,50
8.885,note_off,36,0
9.000,note_off,84,0
9.000,note_on,80,50
9.000,note_off,50,0
9.000,note_off,38,0
9.000,note_on,37,50
9.000,note_on,50,50
9.000,note_on,42,50
9.115,note_off,42,0
9.231,note_off,77,0
9.231,note_off,74,0
9.231,note_off,80,0
9.231,note_on,83,50
9.231,note_on,73,50
9.231,note_on,77,50
9.231,note_off,50,0
9.231,note_off,37,0
9.231,note_on,37,50
9.231,note_on,49,50
9.231,note_on,36,50
9.346,note_off,36,0
9.462,note_on,42,50
9.577,note_off,83,0
9.577,note_on,82,50
9.577,note_off,42,0
9.692,note_on,36,50
9.808,note_off,36,0
9.923,note_off,77,0
9.923,note_off,73,0
9.923,note_off,82,0
9.923,note_on,72,50
9.923,note_on,76,50
9.923,note_on,80,50
9.923,note_off,49,0
9.923,note_off,37,0
9.923,note_on,37,50
9.923,note_on,49,50
9.923,note_on,42,50
10.038,note_off,42,0
10.154,note_off,49,0
10.154,note_off,37,0
10.154,note_on,36,50
10.154,note_on,48,50
10.154,note_on,36,50
10.269,note_off,36,0
10.385,note_on,42,50
10.500,note_off,42,0
10.615,note_off,80,0
10.615,note_off,76,0
10.615,note_off,72,0
10.615,note_on,80,50
10.615,note_on,84,50
10.615,note_off,48,0
10.615,note_off,36,0
10.615,note_on,36,50
10.615,note_on,48,50
10.615,note_on,36,50
10.731,note_off,36,0
10.769,note_on,87,50
10.846,note_off,48,0
10.846,note_off,36,0
10.846,note_on,39,50
10.846,note_on,51,50
10.846,note_on,42,50
10.885,note_off,87,0
10.924,note_on,88,50
10.962,note_off,42,0
11.040,note_off,88,0
11.077,note_off,51,0
11.077,note_off,39,0
11.077,note_on,41,50
11.077,note_on,53,50
11.077,note_on,36,50
11.078,note_off,84,0
11.078,note_off,80,0
11.078,note_on,80,50
11.078,note_on,84,50
11.078,note_on,89,50
11.192,note_off,36,0
11.308,note_on,42,50
11.423,note_off,53,0
11.423,note_off,41,0
11.423,note_on,47,50
11.423,note_on,59,50
11.423,note_off,42,0
11.538,note_on,36,50
11.654,note_off,59,0
11.654,note_off,47,0
11.654,note_on,46,50
11.654,note_on,58,50
11.654,note_off,36,0
11.769,note_off,58,0
11.769,note_off,46,0
11.769,note_on,44,50
11.769,note_on,56,50
11.769,note_on,42,50
11.770,note_off,89,0
11.770,note_off,84,0
11.770,note_off,80,0
11.770,note_on,68,50
11.885,note_off,42,0
12.000,note_off,56,0
12.000,note_off,44,0
12.000,note_on,41,50
12.000,note_on,53,50
12.000,note_on,36,50
12.001,note_off,68,0
12.001,note_on,65,50
12.115,note_off,36,0
12.231,note_on,42,50
12.232,note_off,65,0
12.232,note_on,65,50
12.232,note_on,72,50
12.346,note_off,53,0
12.346,note_off,41,0
12.346,note_on,47,50
12.346,note_on,59,50
12.346,note_off,42,0
12.462,note_on,36,50
12.463,note_off,72,0
12.463,note_off,65,0
12.463,note_on,77,50
12.463,note_on,68,50
12.577,note_off,59,0
12.577,note_off,47,0
12.577,note_on,46,50
12.577,note_on,58,50
12.577,note_off,36,0
12.692,note_off,58,0
12.692,note_off,46,0
12.692,note_on,44,50
12.692,note_on,56,50
12.692,note_on,42,50
12.693,note_off,77,0
12.693,note_on,76,50
12.808,note_off,42,0
12.923,note_off,56,0
12.923,note_off,44,0
12.923,note_on,41,50
12.923,note_on,53,50
12.923,note_on,36,50
12.924,note_off,68,0
12.924,note_off,76,0
13.038,note_off,36,0
13.040,note_on,65,50
13.040,note_on,71,50
13.040,note_on,74,50
13.154,note_off,53,0
13.154,note_off,41,0
13.154,note_on,41,50
13.154,note_on,53,50
13.154,note_on,42,50
13.269,note_off,53,0
13.269,note_off,41,0
13.269,note_on,40,50
13.269,note_on,52,50
13.269,note_off,42,0
13.385,note_on,36,50
13.386,note_off,74,0
13.386,note_off,71,0
13.386,note_off,65,0
13.386,note_on,64,50
13.386,note_on,71,50
13.500,note_off,52,0
13.500,note_off,40,0
13.500,note_on,40,50
13.500,note_on,52,50
13.500,note_off,36,0
13.501,note_off,71,0
13.501,note_off,64,0
13.615,note_off,52,0
13.615,note_off,40,0
13.615,note_on,39,50
13.615,note_on,51,50
13.615,note_on,42,50
13.617,note_on,63,50
13.617,note_on,67,50
13.731,note_off,42,0
13.732,note_off,67,0
13.732,note_off,63,0
13.846,note_off,51,0
13.846,note_off,39,0
13.846,note_on,39,50
13.846,note_on,51,50
13.846,note_on,36,50
13.847,note_on,63,50
13.847,note_on,71,50
13.962,note_off,51,0
13.962,note_off,39,0
13.962,note_on,38,50
13.962,note_on,50,50
13.962,note_off,36,0
14.077,note_on,42,50
14.078,note_off,71,0
14.078,note_off,63,0
14.078,note_on,62,50
14.078,note_on,67,50
14.192,note_off,50,0
14.192,note_off,38,0
14.192,note_on,38,50
14.192,note_on,50,50
14.192,note_off,42,0
14.193,note_off,67,0
14.193,note_off,62,0
14.193,note_on,62,50
14.193,note_on,76,50
14.308,note_off,50,0
14.308,note_off,38,0
14.308,note_on,32,50
