time,type,note,velocity
40.963,note_on,94,50
41.077,note_on,36,50
41.077,note_on,35,50
41.192,note_off,35,0
41.192,note_off,36,0
41.308,note_off,61,0
41.308,note_off,49,0
41.308,note_on,48,50
41.308,note_on,58,50
41.308,note_on,42,50
41.309,note_off,89,0
41.309,note_off,85,0
41.309,note_off,94,0
41.309,note_off,82,0
41.309,note_on,80,50
41.309,note_on,84,50
41.309,note_on,88,50
41.309,note_on,92,50
41.423,note_off,42,0
41.538,note_on,36,50
41.654,note_off,36,0
41.769,note_on,42,50
41.885,note_off,42,0
42.000,note_off,58,0
42.000,note_off,48,0
42.000,note_on,36,50
42.000,note_on,48,50
42.000,note_on,36,50
42.000,note_on,35,50
42.001,note_off,92,0
42.001,note_off,88,0
42.001,note_off,84,0
42.001,note_off,80,0
42.001,note_on,80,50
42.001,note_on,84,50
42.001,note_on,72,50
42.115,note_off,35,0
42.115,note_off,36,0
42.117,note_off,84,0
42.117,note_off,80,0
42.155,note_on,75,50
42.155,note_on,87,50
42.155,note_on,80,50
42.155,note_on,84,50
42.231,note_on,42,50
42.270,note_off,87,0
42.270,note_off,75,0
42.310,note_on,76,50
42.310,note_on,88,50
42.346,note_off,42,0
42.425,note_off,88,0
42.425,note_off,76,0
42.461,note_off,48,0
42.461,note_off,36,0
42.461,note_on,53,50
42.461,note_on,60,50
42.461,note_on,36,50
42.464,note_off,72,0
42.464,note_on,77,50
42.464,note_on,80,50
42.464,note_on,84,50
42.464,note_on,89,50
42.502,note_off,84,0
42.502,note_off,80,0
42.577,note_off,36,0
42.692,note_on,42,50
42.808,note_off,42,0
42.923,note_on,36,50
42.923,note_on,35,50
43.038,note_off,35,0
43.038,note_off,36,0
43.154,note_on,42,50
43.269,note_off,42,0
43.385,note_off,60,0
43.385,note_off,53,0
43.385,note_on,52,50
43.385,note_on,60,50
43.385,note_on,36,50
43.387,note_off,89,0
43.387,note_off,84,0
43.387,note_off,80,0
43.387,note_off,77,0
43.387,note_on,89,50
43.500,note_off,36,0
43.502,note_off,89,0
43.502,note_on,88,50
43.615,note_on,42,50
43.618,note_off,88,0
43.618,note_on,87,50
43.731,note_off,42,0
43.733,note_off,87,0
43.733,note_on,84,50
43.846,note_off,60,0
43.846,note_off,52,0
43.846,note_on,51,50
43.846,note_on,60,50
43.846,note_on,36,50
43.846,note_on,35,50
43.849,note_off,84,0
43.849,note_on,83,50
43.961,note_off,35,0
43.961,note_off,36,0
43.964,note_off,83,0
43.964,note_on,82,50
44.077,note_on,42,50
44.079,note_off,82,0
44.079,note_on,80,50
44.192,note_off,42,0
44.195,note_off,80,0
44.195,note_on,77,50
44.308,note_off,60,0
44.308,note_off,51,0
44.308,note_on,50,50
44.308,note_on,60,50
44.308,note_on,36,50
44.310,note_off,77,0
44.310,note_on,79,50
44.423,note_off,36,0
44.425,note_off,79,0
44.425,note_on,80,50
44.538,note_on,42,50
44.541,note_off,80,0
44.541,note_on,82,50
44.654,note_off,60,0
44.654,note_off,50,0
44.654,note_on,49,50
44.654,note_on,60,50
44.654,note_off,42,0
44.656,note_off,82,0
44.656,note_on,83,50
44.769,note_on,36,50
44.769,note_on,35,50
44.772,note_off,83,0
44.772,note_on,84,50
44.885,note_off,35,0
44.885,note_off,36,0
44.887,note_off,84,0
44.887,note_on,82,50
45.000,note_off,60,0
45.000,note_off,49,0
45.000,note_on,48,50
45.000,note_on,60,50
45.000,note_on,42,50
45.002,note_off,82,0
45.002,note_on,80,50
45.115,note_off,42,0
45.118,note_off,80,0
45.118,note_on,79,50
45.231,note_on,36,50
45.233,note_off,79,0
45.233,note_on,77,50
45.346,note_off,36,0
45.349,note_off,77,0
45.349,note_on,80,50
45.461,note_on,42,50
45.464,note_off,80,0
45.464,note_on,82,50
45.577,note_off,42,0
45.579,note_off,82,0
45.579,note_on,84,50
45.692,note_on,36,50
45.692,note_on,35,50
45.695,note_off,84,0
45.695,note_on,85,50
45.808,note_off,35,0
45.808,note_off,36,0
45.810,note_off,85,0
45.810,note_on,86,50
45.923,note_on,42,50
45.925,note_off,86,0
45.925,note_on,87,50
46.038,note_off,60,0
46.038,note_off,48,0
46.038,note_off,42,0
46.041,note_off,87,0
46.041,note_on,88,50
46.154,note_on,41,50
46.154,note_on,49,50
46.156,note_off,88,0
46.156,note_on,80,50
46.156,note_on,84,50
46.156,note_on,89,50
46.269,note_off,49,0
46.385,note_off,41,0
46.387,note_off,89,0
46.387,note_off,84,0
46.387,note_off,80,0
